ID,MAIN_NAME,SUB_NAME,DETAIL_NAME,FULL_ADDR
153,서울특별시,강북구,인수동,서울특별시 강북구 인수동
154,서울특별시,도봉구,,서울특별시 도봉구 
155,서울특별시,도봉구,쌍문1동,서울특별시 도봉구 쌍문1동
156,서울특별시,도봉구,쌍문2동,서울특별시 도봉구 쌍문2동
157,서울특별시,도봉구,쌍문3동,서울특별시 도봉구 쌍문3동
158,서울특별시,도봉구,쌍문4동,서울특별시 도봉구 쌍문4동
159,서울특별시,도봉구,방학1동,서울특별시 도봉구 방학1동
160,서울특별시,도봉구,방학2동,서울특별시 도봉구 방학2동
161,서울특별시,도봉구,방학3동,서울특별시 도봉구 방학3동
162,서울특별시,도봉구,창1동,서울특별시 도봉구 창1동
163,서울특별시,도봉구,창2동,서울특별시 도봉구 창2동
164,서울특별시,도봉구,창3동,서울특별시 도봉구 창3동
165,서울특별시,도봉구,창4동,서울특별시 도봉구 창4동
166,서울특별시,도봉구,창5동,서울특별시 도봉구 창5동
167,서울특별시,도봉구,도봉1동,서울특별시 도봉구 도봉1동
168,서울특별시,도봉구,도봉2동,서울특별시 도봉구 도봉2동
169,서울특별시,노원구,,서울특별시 노원구 
170,서울특별시,노원구,월계1동,서울특별시 노원구 월계1동
171,서울특별시,노원구,월계2동,서울특별시 노원구 월계2동
172,서울특별시,노원구,월계3동,서울특별시 노원구 월계3동
173,서울특별시,노원구,공릉2동,서울특별시 노원구 공릉2동
174,서울특별시,노원구,하계1동,서울특별시 노원구 하계1동
175,서울특별시,노원구,하계2동,서울특별시 노원구 하계2동
176,서울특별시,노원구,중계본동,서울특별시 노원구 중계본동
177,서울특별시,노원구,중계1동,서울특별시 노원구 중계1동
178,서울특별시,노원구,중계4동,서울특별시 노원구 중계4동
179,서울특별시,노원구,상계1동,서울특별시 노원구 상계1동
180,서울특별시,노원구,상계2동,서울특별시 노원구 상계2동
181,서울특별시,노원구,상계5동,서울특별시 노원구 상계5동
182,서울특별시,노원구,상계8동,서울특별시 노원구 상계8동
183,서울특별시,노원구,상계9동,서울특별시 노원구 상계9동
184,서울특별시,노원구,상계10동,서울특별시 노원구 상계10동
185,서울특별시,노원구,상계3·4동,서울특별시 노원구 상계3·4동
186,서울특별시,노원구,상계6·7동,서울특별시 노원구 상계6·7동
187,서울특별시,노원구,중계2·3동,서울특별시 노원구 중계2·3동
188,서울특별시,노원구,공릉1동,서울특별시 노원구 공릉1동
189,서울특별시,은평구,,서울특별시 은평구 
190,서울특별시,은평구,녹번동,서울특별시 은평구 녹번동
191,서울특별시,은평구,불광1동,서울특별시 은평구 불광1동
192,서울특별시,은평구,갈현1동,서울특별시 은평구 갈현1동
193,서울특별시,은평구,갈현2동,서울특별시 은평구 갈현2동
194,서울특별시,은평구,구산동,서울특별시 은평구 구산동
195,서울특별시,은평구,대조동,서울특별시 은평구 대조동
196,서울특별시,은평구,응암1동,서울특별시 은평구 응암1동
197,서울특별시,은평구,응암2동,서울특별시 은평구 응암2동
198,서울특별시,은평구,신사1동,서울특별시 은평구 신사1동
199,서울특별시,은평구,신사2동,서울특별시 은평구 신사2동
200,서울특별시,은평구,증산동,서울특별시 은평구 증산동
201,서울특별시,은평구,수색동,서울특별시 은평구 수색동
202,서울특별시,은평구,진관동,서울특별시 은평구 진관동
203,서울특별시,은평구,불광2동,서울특별시 은평구 불광2동
204,서울특별시,은평구,응암3동,서울특별시 은평구 응암3동
205,서울특별시,은평구,역촌동,서울특별시 은평구 역촌동
206,서울특별시,서대문구,,서울특별시 서대문구 
207,서울특별시,서대문구,천연동,서울특별시 서대문구 천연동
208,서울특별시,서대문구,홍제1동,서울특별시 서대문구 홍제1동
209,서울특별시,서대문구,홍제3동,서울특별시 서대문구 홍제3동
210,서울특별시,서대문구,홍제2동,서울특별시 서대문구 홍제2동
211,서울특별시,서대문구,홍은1동,서울특별시 서대문구 홍은1동
212,서울특별시,서대문구,홍은2동,서울특별시 서대문구 홍은2동
213,서울특별시,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
214,서울특별시,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
215,서울특별시,서대문구,북가좌1동,서울특별시 서대문구 북가좌1동
216,서울특별시,서대문구,북가좌2동,서울특별시 서대문구 북가좌2동
217,서울특별시,서대문구,충현동,서울특별시 서대문구 충현동
218,서울특별시,서대문구,북아현동,서울특별시 서대문구 북아현동
219,서울특별시,서대문구,신촌동,서울특별시 서대문구 신촌동
220,서울특별시,서대문구,연희동,서울특별시 서대문구 연희동
221,서울특별시,마포구,,서울특별시 마포구 
222,서울특별시,마포구,용강동,서울특별시 마포구 용강동
223,서울특별시,마포구,대흥동,서울특별시 마포구 대흥동
224,서울특별시,마포구,염리동,서울특별시 마포구 염리동
225,서울특별시,마포구,신수동,서울특별시 마포구 신수동
226,서울특별시,마포구,서교동,서울특별시 마포구 서교동
227,서울특별시,마포구,합정동,서울특별시 마포구 합정동
228,서울특별시,마포구,망원1동,서울특별시 마포구 망원1동
229,서울특별시,마포구,망원2동,서울특별시 마포구 망원2동
230,서울특별시,마포구,연남동,서울특별시 마포구 연남동
231,서울특별시,마포구,성산1동,서울특별시 마포구 성산1동
